Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Beefeater Whitley Bay,9 Spanish City Plaza,,Whitley Bay,Tyne and Wear,NE26 1BG,55.0471451,-1.4460081
Beefeater Yeadon Stoops,Victoria Avenue,Bayton Lane,Yeadon,Leeds,LS19 7AW,53.8635795,-1.671339
Beefeater Yeovil Town Centre,Middle Street,,Yeovil,Somerset,BA20 1LT,50.9409524,-2.6254442
Brewers Fayre Abergavenny,Westgate House,Llanfoist,Abergavenny,Monmouthshire,NP7 9LH,51.8140667,-3.0259811
Brewers Fayre Afon Conwy,Glan Conwy Corner,,Colwyn Bay,Conwy Principal Area,LL28 5LB,53.2794821,-3.7899077
Brewers Fayre Aire & Calder,Rawcliffe Road,Airmyn,Goole,East Riding of Yorkshire,DN14 8JS,53.7060976,-0.9135844
Brewers Fayre Bankhead Gate,Beaufort Drive,,Glenrothes,Fife,KY7 4UJ,56.1816986,-3.1515258
Brewers Fayre Barrow in Furness,North Road,,Barrow-in-Furness,Cumbria,LA14 2PW,54.112692,-3.238758
Brewers Fayre Bedford South (A421),Marsh Leys Cottages,Kempston,Bedford,,MK42 7FY,52.1047115,-0.5070468
Brewers Fayre Bellziehill Farm,10-12 Bellziehill Road,,Bellshill,North Lanarkshire,ML4 3PD,55.8192095,-4.0411475
Brewers Fayre Bexleyheath,51 Albion Road,,Bexleyheath,Greater London,DA6 7HG,51.45561679999999,0.1436057
Brewers Fayre Bicester,Oxford Road,,Bicester,Oxfordshire,OX26 1BT,51.8916941,-1.1640328
Brewers Fayre Bideford,Clovelly Road,,Bideford,Devon,EX39 3QU,51.0090465,-4.238320499999999
Brewers Fayre Bobbing Apple,Corner,Sheppey Way,Sittingbourne,Kent,ME9 8RZ,51.3512687,0.7069578
Brewers Fayre Brampton Hut,A1,Brampton,Huntingdon,Cambridgeshire,PE28 4NQ,52.332256,-0.252501
Brewers Fayre Bristol Lewins Mead,Lewins Mead,,Bristol,Bristol City,BS1 2PY,51.4579283,-2.5935671
Brewers Fayre Broadland View,Old Chapel Way,,Norwich,Norfolk,NR7 0WG,52.6287119,1.3738689
Brewers Fayre Brookers Oast,The Hop Farm,Beltring,Paddock Wood,Tonbridge,TN12 6PY,51.2007659,0.3953821
Brewers Fayre Buchanan Gate,Cumbernauld Road,Stepps,Glasgow,North Lanarkshire,G33 6LE,55.8945982,-4.1323606
Brewers Fayre Burleydam,New Chester Road,Childer Thornton,Ellesmere Port,Cheshire West and Chester,CH66 1QW,53.291601,-2.95355
Brewers Fayre Burton House,Wainfleet Road,,Boston,Lincolnshire,PE21 9RW,52.98809139999999,-0.0035131
Brewers Fayre Cadgers Brae,Beancross Road,Polmont,Grangemouth,Falkirk,FK2 0YS,55.9963151,-3.7230774
Brewers Fayre Castle Lake,Castle Way,Leybourne,West Malling,Kent,ME19 5TR,51.3065002,0.4240719
Brewers Fayre Central Park,2,Central Park Drive,Rugby,Warwickshire,CV23 0WE,52.4020855,-1.2456386
Brewers Fayre Cepen Park,West Cepen Way,,Chippenham,Wiltshire,SN14 6UZ,51.4781923,-2.1320719
Brewers Fayre Chafford Hundred,Fleming Road Unicorn Estate,Chafford Hundred,Grays,Thurrock,RM16 6YJ,51.4907265,0.2907466
Brewers Fayre Chapel Brook,Wilson Road,Tarbock Green,Liverpool,Merseyside,L36 6AD,53.3994675,-2.8146329
Brewers Fayre Chequers Corner,2 New Road,,Dagenham,Greater London,RM9 6YS,51.5313398,0.148072
Brewers Fayre Cinder Path,Hobson Way,Newcastle Road,Jarrow,South Shields,NE34 9PQ,54.975086,-1.453918
Brewers Fayre Clarence Pier,Long Curtain Road,Southsea,Portsmouth,Southsea,PO5 3XX,50.7868311,-1.1017335
Brewers Fayre Clayton Green,Chadderton Way,,Oldham,Greater Manchester,OL1 2PA,53.5541549,-2.1327211
Brewers Fayre Clock Tower,Donnington Wood Way,Donnington,Telford,Shropshire,TF2 8LE,52.7245888,-2.4356417
Brewers Fayre Coach House,Wilderspool Wood,Trafford Park,Stretford,Manchester,M17 8WW,53.46468050000001,-2.3535042
Brewers Fayre Cockermouth,Waterloo Street,,Cockermouth,Cumbria,CA13 0QX,54.6520389,-3.3713168
Brewers Fayre Concorde,Gloucester Road North,Filton,Bristol,South Gloucestershire,BS34 7BR,51.5084174,-2.5749104
Brewers Fayre Cottams Field,Caton Road,,Lancaster,Lancashire,LA1 3PE,54.0695618,-2.7784418
Brewers Fayre Craig House,Carberry Road,Inveresk,Musselburgh,East Lothian Council,EH21 8PT,55.925647,-3.034939
Brewers Fayre Craigside Inn,Colwyn Road,,Llandudno,Conwy Principal Area,LL30 3AL,53.3228446,-3.7860063
Brewers Fayre Crooked Glen,Fife Leisure Park,Whimbrel Place,Dunfermline,Fife,KY11 8EX,56.0787551,-3.3991823
Brewers Fayre Cross Point,Gielgud Way,,Coventry,West Midlands,CV2 2SZ,52.4347563,-1.4294558
Brewers Fayre Crossways,Pontypandy Lane,,Caerphilly,Caerphilly County Borough,CF83 3NL,51.5880837,-3.2098973
Brewers Fayre Derry Londonderry,Crescent Link,,Londonderry,Derry and Strabane,BT47 6SA,54.9924791,-7.278984200000001
