Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Pret A Manger,Unit 5K,,Bracknell,Bracknell Forest,RG12 1AP,51.417655,-0.7503439
Pret A Manger,93 Northbrook Street,,Newbury,West Berkshire,RG14 1AA,51.4023566,-1.3245087
Pret A Manger,Unit 17 - 19 Church Street,,Basingstoke,Hampshire,RG21 7LG,51.2654874,-1.0877762
Pret A Manger,26 The Martletts,,Crawley,West Sussex,RH10 1ES,51.1142488,-0.1866646
Pret A Manger,14-15 West Street,,Horsham,West Sussex,RH12 1PB,51.0626911,-0.3305135
Pret A Manger,Unit ACU06 Perimeter Road East,Horley,Gatwick,West Sussex,RH6 0NP,51.1555484,-0.1625224
Pret A Manger,202-206,Union Street,London,Greater London,SE1 0LX,51.503739,-0.102541
Pret A Manger,167 Borough High Street,,London,Greater London,SE1 1HR,51.5027228,-0.09195189999999999
Pret A Manger,51 Borough High Street,,London,Greater London,SE1 1NB,51.5047413,-0.08978110000000002
Pret A Manger,47-49 Tooley Street,,London,Greater London,SE1 2QN,51.50549640000001,-0.0849018
Pret A Manger,7 More London Riverside,,London,Greater London,SE1 2RT,51.5048808,-0.08133599999999999
Pret A Manger,7 More London Riverside,,London,Greater London,SE1 2RT,51.5048808,-0.08133599999999999
Pret A Manger,22 Elephant and Castle,,London,Greater London,SE1 6SQ,51.4935437,-0.1010777
Pret A Manger,152 Waterloo Road,,London,Greater London,SE1 7AA,51.5022199,-0.1102905
Pret A Manger,111 Westminster Bridge Road,,London,Greater London,SE1 7HR,51.4990775,-0.1130461
Pret A Manger,Unit GO1A York Road,,London,Greater London,SE1 7NQ,51.503293,-0.11245
Pret A Manger,Belvedere Road,,London,Greater London,SE1 7PB,51.501883,-0.118235
Pret A Manger,157-168 Blackfriars Road,,London,Greater London,SE1 8EZ,51.50177040000001,-0.1043252
Pret A Manger,240 Blackfriars Road,,London,Greater London,SE1 8NW,51.5066188,-0.1041824
Pret A Manger,Southbank Centre,Belvedere Road,London,Greater London,SE1 8XX,51.50580619999999,-0.1166288
Pret A Manger,Canvey Street,,London,Greater London,SE1 9AN,51.5056343,-0.0992446
Pret A Manger,40 Stoney Street,,London,Greater London,SE1 9LB,51.5068266,-0.0913007
Pret A Manger,58-60 Stamford Street,,London,Greater London,SE1 9LX,51.50708849999999,-0.1078304
Pret A Manger,11-15 Borough High Street,,London,Greater London,SE1 9SE,51.5054861,-0.0888056
Pret A Manger,52 King Edward Court,,Windsor,Windsor and Maidenhead,SL4 1TG,51.4820891,-0.6104349
Pret A Manger,25 High Street,Grays,Winchester,Hampshire,SO23 9BL,51.0622596,-1.3134769
Pret A Manger,31 New Canal,,Salisbury,Wiltshire,SP1 2AA,51.0682416,-1.7956977
Pret A Manger,367B Fulham Road,,London,Greater London,SW10 9TN,51.4853918,-0.1816761
Pret A Manger,80-82 Saint John's Road,,London,Greater London,SW11 1PX,51.4613402,-0.1674908
Pret A Manger,121 Putney High Street,,London,Greater London,SW15 1SU,51.4623759,-0.2162379
Pret A Manger,Ground Floor,,London,Greater London,SW17 0RE,51.426872,-0.1747499
Pret A Manger,2 Garratt Lane,,London,Greater London,SW18 4TF,51.4565496,-0.1929836
Pret A Manger,4 Wimbledon Hill Road,,London,Greater London,SW19 7NS,51.4209749,-0.2075117
Pret A Manger,1 Whitehall,,London,Greater London,SW1A 2DD,51.5071909,-0.1272648
Pret A Manger,10 Bressenden Place,,London,Greater London,SW1E 5DU,51.4979824,-0.1427961
Pret A Manger,7 Cathedral Walk,,London,Greater London,SW1E 5JH,51.4973749,-0.1406828
Pret A Manger,16 Broadway,,London,Greater London,SW1H 0BH,51.4991751,-0.133183
Pret A Manger,93-95 Victoria Street,,London,Greater London,SW1H 0HW,51.49740509999999,-0.1354124
Pret A Manger,24 Caxton Street,,London,Greater London,SW1H 0QU,51.49862779999999,-0.1359222
Pret A Manger,49 Tothill Street,,London,Greater London,SW1H 9LQ,51.49960000000001,-0.132532
Pret A Manger,19 Horseferry Road,,London,Greater London,SW1P 2AA,51.49473,-0.1295092
Pret A Manger,47 Great Peter Street,,London,Greater London,SW1P 3LT,51.4968575,-0.1292386
Pret A Manger,Unit 36B Victoria Street,,London,Greater London,SW1V 1JU,51.4959151,-0.1448974
Pret A Manger,129A Wilton Road,,London,Greater London,SW1V 1JZ,51.4943217,-0.1424199
Pret A Manger,40 Vauxhall Bridge Road,,London,Greater London,SW1V 2RX,51.4903238,-0.132616
Pret A Manger,92 Buckingham Palace Road,,London,Greater London,SW1W 0SS,51.4944034,-0.1467899
Pret A Manger,164 Buckingham Palace Road,,London,Greater London,SW1W 9TP,51.4926183,-0.1484453
Pret A Manger,21-24 Grosvenor Place,,London,Greater London,SW1X 7HN,51.49988430000001,-0.1494343
Pret A Manger,2 Regent Street,,London,Greater London,SW1Y 4PE,51.5081466,-0.133111
Pret A Manger,5 Pall Mall East,,London,Greater London,SW1Y 5BA,51.5082276,-0.1300897
Pret A Manger,132 Brompton Road,,London,Greater London,SW3 1HY,51.4987624,-0.1657189
Pret A Manger,106-108 Brompton Road,,London,Greater London,SW3 1JJ,51.4998343,-0.1640204
Pret A Manger,35-37 King's Road,,London,Greater London,SW3 4NB,51.4902916,-0.161841
